Cruisin' the Heartland: Your Expert Guide to 2025 Classic Car Shows Across the Midwest
Section I: The Allure of the Automobile – A Midwest Tradition
A. Introduction: The Enduring Passion for Classic Iron in America's Heartland
The American Midwest, a region synonymous with industrial prowess and agricultural abundance, also harbors a deep-seated and fervent passion for the automobile. This is not merely an appreciation for transportation, but a cultural phenomenon rooted in the area's pivotal role in automotive history. From the assembly lines of Detroit that birthed legends to the sprawling network of highways that beckoned exploration, the car is woven into the very fabric of Midwestern life. This enduring love affair is most vibrantly expressed through its thriving classic car scene. Throughout the year, enthusiasts, collectors, and families converge at countless shows, cruise-ins, and festivals, celebrating the artistry, engineering, and nostalgia embodied by these rolling sculptures. These events are more than just gatherings of vintage metal; they are communal celebrations of craftsmanship, personal stories, and a shared heritage that continues to captivate new generations. This guide serves as an invitation to explore the rich tapestry of classic car events unfurling across the Heartland in 2025, offering a comprehensive roadmap to a year of automotive adventure.
B. Defining the "Midwest" – Our Geographical Roadmap
To provide a clear and consistent framework for this guide, the "Midwest" is defined according to the U.S. Census Bureau. This official designation encompasses twelve states, forming a vast and diverse region for classic car enthusiasts to explore. The Midwestern states included in this report are: Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, and Wisconsin.
This standardized definition is particularly beneficial for both event organizers and attendees. Organizers aiming to attract a "Midwestern" audience can target their promotions effectively within these recognized boundaries. For enthusiasts, this clear geographical scope allows for confident planning, whether seeking local gatherings or embarking on multi-state automotive pilgrimages. The consistency across various data sources  reinforces this 12-state grouping, ensuring that the events listed herein fall within a widely accepted understanding of the region. Companies and clubs, such as "Midwest Classic Cars" which hosts events in Illinois , often operate with this regional identity in mind, fostering a sense of a larger, interconnected community of car lovers.
C. What Makes a "Classic"? – Understanding Event Eligibility
The term "classic car" can evoke a range of images, from gleaming chrome-laden cruisers of the 1950s to the raw power of 1970s muscle cars or even the stately elegance of pre-war automobiles. When it comes to car show eligibility, the definition of what constitutes a "classic," "antique," "vintage," "hot rod," or "muscle car" is not universally fixed. Instead, criteria often vary significantly from one event to another, frequently dictated by the show's specific theme or the organizing club's particular focus.
For instance, some events adopt a rolling age qualification, such as the "Cars and Caves" series in Minnesota, which defines "Classics" as vehicles 25 years or older. Others may have a more specific cut-off year, like "Kool Deadwood Nites" in South Dakota, which welcomes vehicles from '73 or older , or the "Northern Roundup Vintage Weekend" in Wisconsin, which specifies "Pre-1975 cars & motorcycles, Pre-1979 Trucks". More historically focused events, like the "Antique Car Gathering" at Sauder Village in Ohio, concentrate on vehicles "manufactured prior to 1942". Publications and marketplaces like Hemmings Motor News cater to a broad spectrum, encompassing "antique classic, vintage, muscle, street rod, and special interest" automobiles.
This fluidity in definition results in a remarkably diverse event landscape across the Midwest. Enthusiasts can find broad, inclusive shows welcoming a wide array of makes and models, alongside highly specialized gatherings catering to niche interests, such as Corvette-only expositions  or Mopar-specific events. This variety ensures that nearly every type of classic and collector vehicle has a venue for appreciation. Therefore, it is crucial for prospective participants to consult the specific eligibility requirements for each event, a detail highlighted in the "Vehicle Types/Restrictions" column of the comprehensive directory that follows. This understanding prepares attendees for the rich diversity of the Midwestern classic car scene and underscores the importance of matching one's vehicle to the appropriate showcase.
Section II: Your Ultimate 2025 Midwest Classic Car Show Directory
A. How to Use This Directory
This directory is designed to be a comprehensive resource for navigating the vibrant classic car show scene across the Midwest in 2025. The central feature is an extensive table, organized alphabetically by state and then chronologically by event date within each state. Each entry aims to provide the most critical information needed to plan attendance, whether as a spectator or a participant.
Columns in the table include:
 * Event Name: The official title of the car show or cruise night.
 * State: The Midwest state where the event is located.
 * Date(s): The specific date or range of dates for the event.
 * Time(s): Includes show hours, registration times, and award presentation times where available.
 * Full Venue Address: The street address, city, and ZIP code of the event location.
 * Organizer/Sponsor: The primary organizing club, business, or entity, along with major sponsors if noted.
 * Contact (Website/Phone/Email): Key contact information for further details or inquiries.
 * Vehicle Types/Restrictions: Specific types of vehicles welcomed or any age/make/model restrictions.
 * Spectator Fee: Cost of admission for the general public.
 * Participant Fee (incl. pre-reg/on-site): Cost for entering a vehicle, noting any discounts for pre-registration versus day-of-show registration.
 * Key Features/Activities: Highlights such as live music, food vendors, swap meets, awards, special displays, or unique activities.
 * Registration Info/Deadline: Important details regarding how to register a vehicle and any stated deadlines.
Please note that all details are based on information available at the time of research (Spring-Summer 2024, with some source pages updated into early 2025). Event details, especially times, fees, and specific activities for smaller or volunteer-run events, can sometimes change. It is always recommended to verify information with the event organizers directly or check their official websites or social media channels closer to the event date, particularly for items marked as "TBD" (To Be Determined) or where information was incomplete.
The Midwest classic car scene presents a fascinating spectrum of events. At one end are the highly localized, often weekly, cruise nights. These gatherings, frequently found in small-town squares or the parking lots of local businesses like VFWs or restaurants, tend to have a casual, community-focused atmosphere. Admission is typically free, and participation is informal, emphasizing social interaction and the simple joy of bringing out one's cherished vehicle.
Contrasting these are the large-scale, multi-day festivals and national shows, often organized by professional entities like the Goodguys Rod & Custom Association. These events, held at expansive fairgrounds or expo centers, can draw thousands of cars and tens of thousands of spectators. They feature structured activities such as AutoCross competitions, professionally judged shows with numerous award categories, extensive vendor midways, and swap meets. Somewhere in between are regional shows sponsored by local businesses or dedicated clubs, which might run for a day or a weekend and offer a blend of community feel with more structured elements. The comprehensive table below aims to capture this diversity, allowing enthusiasts to find events that perfectly match their interests and level of involvement.
A noteworthy characteristic of the Midwestern classic car scene is the strong connection many events have to community and charitable causes. A significant number of local shows and cruise nights are organized by or directly benefit community groups, veterans' organizations, churches, and various charities. For example, the "Cars and Caves" series in Minnesota dedicates each month's event to a different charity, such as the Alzheimer's Association or Special Olympics Minnesota. Similarly, events in Indiana include the "Mount Pleasant Methodist Church Missions and CASA Car Show Extravaganza" and the "UAW 933 Veteran's Car & Truck Show benefiting Indy Honor Flight". In Kansas, the "Cars in the Park" show supports JCPRD Adaptive Recreation and Special Olympics programs. This philanthropic spirit underscores that these gatherings are often about more than just automotive admiration; they serve as vital mechanisms for community fundraising, engagement, and support, adding a layer of social value to participation.
While this directory strives for completeness, the accessibility of detailed information varies considerably. Major event organizers typically maintain comprehensive websites with ample details. However, information for smaller, grassroots events can be more fragmented, sometimes relying on local flyers, community bulletin boards, social media posts with limited details, or word-of-mouth. This directory consolidates available information to ease the search burden, but for the most current details on smaller or less formally advertised events, consulting local community sources or contacting listed phone numbers or emails remains advisable.
B. The Comprehensive Classic Car Show Table
The following table provides detailed information on classic car shows scheduled in the Midwest for 2025. Events are listed alphabetically by state, and then chronologically within each state.
Please note: "TBD" indicates that the information was To Be Determined or not available at the time of research. Spectator and participant fees are subject to change and should be verified with organizers. Websites and contact information are provided where available; for some smaller events, contact may be limited to a phone number or email address listed with the event source.
| Event Name | State | Date(s) | Time(s) | Full Venue Address | Organizer/Sponsor | Contact (Website/Phone/Email) | Vehicle Types/Restrictions | Spectator Fee | Participant Fee (incl. pre-reg/on-site) | Key Features/Activities | Registration Info/Deadline |
| Cars & Caves - British | MN | Aug 30, 2025 | 9:00 AM - 1:00 PM | Chanhassen AutoPlex, Chanhassen, MN | Chanhassen AutoPlex | chanhassenautoplex.com/cars-and-caves/  | British makes (MG, Mini, Aston, Jag, McLaren) featured; other qualifying show cars welcome. | Free (Donations for charity accepted) | Free | Featured Charity: Zuhrah Shriners Hospital Transportation Fund. Coffee & food vendors. | Arrive early, space is limited.  |
| Wayzata Car Show - Benefit for High School Scholarships | MN | Sept 14, 2025 | 10:00 AM - 2:00 PM | Downtown Wayzata, MN | Not specified (listed by MSMA) | Flyer: msma.net/wp-content/uploads/2023/04/Untitled-design.jpg | Not specified | Not specified | Not specified | Benefit for High School Scholarships | Not specified  |
| The Fast and The Furriest Car Show and Pet Adoption | MN | Sept 14, 2025 | 12:00 PM - 4:00 PM | Metro State University, Brooklyn Park, MN | Not specified (listed by MSMA) | More info: https://www.facebook.com/events/1707352783358361/ | Not specified | Not specified | Not specified | Pet Adoption | Not specified  |
| Cars & Caves - German | MN | Sept 27, 2025 | 9:00 AM - 1:00 PM | Chanhassen AutoPlex, Chanhassen, MN | Chanhassen AutoPlex | chanhassenautoplex.com/cars-and-caves/  | German makes (Audi, BMW, Mercedes, Porsche, VW) featured; other qualifying show cars welcome. | Free (Donations for charity accepted) | Free | Featured Charity: Chanhassen Fire Department. Coffee & food vendors. | Arrive early, space is limited.  |
| MSRA Back to the 50's Weekend | MN | June 20-22, 2025 | Fri/Sat: 8AM-10PM; Sun: 8AM-3PM | Minnesota State Fairgrounds, St. Paul, MN | Minnesota Street Rod Association (MSRA) | msrabacktothe50s.com  | 1964 and older vehicles only (10,000+ participants)  | Daily $15; Weekend Pass $35  | Pre-reg $35; Day-of $45  | One of the largest classic car shows in the nation, outdoor event, swap meet, vendors, live music. | Pre-registration available.  |
| Concours D'Elegance Car Show (St. Louis area) | MO | Apr 20, 2025 | TBD | St. Louis area, MO (Venue TBD) | Horseless Carriage Club of America in St. Louis | Check greatriverroad.com/stl-events/concours-delegance-22 closer to date  | Hundreds of antique cars | TBD | TBD | Homage to Horseless Carriage Club roots | Details TBD  |
| Loafer's Car Club Car Show | MO | May 10, 2025 | 8:00 AM - 4:00 PM | Main Street, Hannibal, MO | Loafers Car Club | greatriverroad.com/hills-events/loafers-car  | 350+ vehicles, 30+ classes | Free | Fee for participants (contact number on site) | Gives back to community, safeguards historic/unique autos | Contact number on website for registration.  |
| Rolla's Route 66 Summerfest | MO | June 6, 2025 (Car show Sat, June 7) | Starts Fri 4PM; Car show Sat (time TBD) | 901 N Elm Street (Fri); Pine Street (Sat Car Show), Rolla, MO | Rolla's Route 66 Summerfest | AllEvents: allevents.in/rolla/rollas-route-66-summerfest/200027552333908  | Classic cars (cruise Fri, show Sat) | Notify Me for ticket info | Notify Me for ticket info | Cars cruise Fri, dog show, movie. Sat: car show, craft/food vendors, kids activities, music, concert. | Check AllEvents page for updates.  |
| 2ND Annual Lake of the Ozarks Show N Shine | MO | June 7, 2025 | 11:00 AM onwards | Shady Gators, 145 Sweet William Rd, Lake Ozark, MO | Hosted by Shady Gators; Presented by Warman Autoworks | AllEvents: allevents.in/village-of-four-seasons/2nd-annual-lake-of-the-ozarks-show-n-shine/200027666569140  | Car show (types not specified) | Book tickets via AllEvents | Book tickets via AllEvents | Proceeds to CADV (Citizens Against Domestic Violence) | Follow event on AllEvents for updates.  |
| 2025 Juneteenth Heritage Festival Car Show | MO | June 14, 2025 | Gates 7AM; Reg closes 10AM; Voting 2PM; Awards 3PM | Lincoln University ROTC Track, 903 Lafayette St, Jefferson City, MO | Prime Focus Photography & New Ground Car Club | newgroundcc@gmail.com  | All Cars Welcome (classic, muscle, lowrider, custom, motorcycle) - No Classes | FREE | $20 per vehicle (cash day-of) | Part of Juneteenth Festival (live music, food, vendors). Trophies: Top Ten, Club President’s, Founder’s, Get Low, Best in Show ($500 & Trophy). | Pre-registration preferred; online registration link on AllEvents.  |
| Sonic Summer Nights - June 2025 - Special Guest: BIGFOOT | MO | June 21, 2025 | 6:00 PM - 10:00 PM (lots fill early) | 401 South Highway 5, Versailles, MO | Sonic Summer Nights | AllEvents: allevents.in/versailles/sonic-summer-nights-june-2025-special-guest-bigfoot/200027928360423 | Show cars | TBD (Notify Me on AllEvents) | TBD (Show car gets 2 free drink coupons) | Special Guest: BIGFOOT. Sonic Spotlight trophy (7:30PM). DJ Mike. Punch cards for End of Year Bash drawing. | Arrive early.  |
| 11th Annual Argyle KofC Car Show & BBQ | MO | Aug 9, 2025 | 11:00 AM - 4:00 PM | 513 2nd Street, Argyle, MO | Knights of Columbus Council 2047 - Argyle | AllEvents: allevents.in/argyle/11th-annual-argyle-kofc-car-show-and-bbq/200027985467249  | Trucks, cars, bikes, tractors (Cruise In Type) | Notify Me for ticket info | Notify Me for ticket info | Car Show & BBQ | Check AllEvents page for updates.  |
| Sonic Summer Nights - August 2025 - Special Guest: Farmtruck & AZN | MO | Aug 16, 2025 | 6:00 PM - 10:00 PM (lots fill early) | 401 South Highway 5, Versailles, MO | Sonic Summer Nights | AllEvents: allevents.in/versailles/sonic-summer-nights-august-2025-special-guest-farmtruck-and-azn/200027914972922  | Show cars (custom, performance, unique implied) | TBD (Notify Me on AllEvents) | TBD (Show car gets 2 free drink coupons) | Special Guest: Farmtruck & AZN. Sonic Spotlight trophy (7:30PM). DJ Mike. Punch cards for End of Year Bash drawing. | Arrive early.  |
| All British Car & Cycle Show - St. Louis | MO | Sept 2025 (3rd Sunday, Date TBD) | TBD | Creve Coeur Lake, St. Louis area, MO | MG Club of St. Louis (past BBQ host) | New website for 2025 event TBD (as of Oct 2024)  | 150+ British cars & motorbikes | TBD | TBD | Pre-show BBQ (past years) | Details TBD  |
| Sonic Summer Nights - End of Year Bash 2025 | MO | Sept 20, 2025 | 6:00 PM - 10:00 PM (lots fill early) | 401 South Highway 5, Versailles, MO | Sonic Summer Nights | AllEvents: allevents.in/versailles/sonic-summer-nights-end-of-year-bash-2025/200027914971919 | Show cars | TBD (Notify Me on AllEvents) | TBD (Show car gets 2 free drink coupons) | End of Year Bash, DJ Mike, Punch card drawing. | Arrive early.  |
| Weekend of Wheels | NE | Mar 1-2, 2025 | Sat: 10AM-TBD; Sun: TBD-5PM | Pinnacle Bank Expo Center, Fonner Park, Grand Island, NE | Not specified | melonroasters.com/events  | Not specified | Not specified | Not specified | Not specified | View Event link on Melon Roasters.  |
| Central Nebraska Auto Club Indoor Auto and Bike Show | NE | May 3, 2025 | 9:00 AM - 5:00 PM  | Buffalo County Fairgrounds, Kearney, NE | Central Nebraska Auto Club (CNAC) | centralnebraskaautoclub.com  | Auto and Bike (classic/antique implied) | $5 (Kids <12 free)  | TBD (Past events had pre-reg) | 19th Annual. Indoor show. | Check website for 2025 details.  |
| Corvair Museum of America Car Show | NE | May 10, 2025 | 10:00 AM - 4:00 PM | Jerry Spady Chevrolet GMC Corvette Hummer, Hastings, NE | Not specified | melonroasters.com/events  | Corvairs implied | Not specified | Not specified | Not specified | View Event link on Melon Roasters.  |
| Howells Show & Shine | NE | June 1, 2025 | 10:00 AM - 4:00 PM | Howells, NE | Not specified | melonroasters.com/events  | Not specified | Not specified | Not specified | Held with NRCA 2025 Tour | View Event link on Melon Roasters.  |
| Auto Festival - Franklin, NE | NE | June 7, 2025 | 9:30 AM - 4:30 PM (Reg starts 9:30AM) | Garvin Autobody, 1508 L Street, Franklin, NE | Garvin Autobody | 605-280-3728  | Not specified | Not specified | Not specified | Not specified | Reg starts 9:30AM. View Event link.  |
| Wessels Living History Farm - Cruisers on the Farm | NE | June 7, 2025 | 10:00 AM - 3:00 PM | Wessels Living History Farm, York, NE | Not specified | melonroasters.com/events  | Cruisers (cars) | Not specified | $20.00 | Not specified | View Event link on Melon Roasters.  |
| 2025 June Jubilee - Milligan, NE | NE | June 14, 2025 | 9:00 AM - 5:00 PM | Milligan, NE | Not specified | melonroasters.com/events  | Not specified | Not specified | $20.00 Day of Show | Not specified | View Event link on Melon Roasters.  |
| Hastings College Cheer - Classic Car Show | NE | June 21, 2025 | 8:00 AM - 1:30 PM | Lynn Farrell Arena, Hastings College, Hastings, NE | Hastings College Cheer | melonroasters.com/events  | Classic Cars | Not specified | $20.00 per vehicle | Not specified | View Event link on Melon Roasters.  |
| Humphrey Days - Car Show | NE | June 21, 2025 | 12:00 PM - 4:00 PM | Humphrey Community Center, Humphrey, NE | Not specified | melonroasters.com/events  | Cars | Not specified | Free Car Entry | Not specified | View Event link on Melon Roasters.  |
| Republican City Car Show | NE | June 29, 2025 | 9:00 AM - 3:00 PM | The Gateway to the Dam, Republican City, NE | Not specified | melonroasters.com/events  | Cars | Not specified | $20.00 | Not specified | View Event link on Melon Roasters.  |
| Kearney Cruise Nite | NE | July 15-20, 2025 | Various times (week-long) | Kearney, NE | Central Nebraska Auto Club (CNAC) | centralnebraskaautoclub.com/cruise-nite/  | Classic & collectible cars | TBD | TBD | 5 Show & Shines, NHRA Drag Races, Car Auction, Oldies Concert, Burnout Contest | Check CNAC website. View Event link.  |
| Melon Roast Car Show | NE | Aug 24, 2025 | 10:00 AM - 5:00 PM | Hastings Melon Roasters Car Club, 1919 West D Street, Hastings, NE | Hastings Melon Roasters Car Club | Steve 402-984-1945; Kris 308-850-6630  | Not specified (implied classic) | Not specified | Pre-Reg $10; Day of $15 | Top 20 Specialty Trophies, Dash Plaques, Best Paint/Engine/Interior, Club/Participants Choice, Food Vendors, Giveaways, Music | Pre-registration available. View Event link.  |
| Colonel Cody's Show & Shine | NE | Sept 5-6, 2025 | Fri: 4PM start; Sat: ends 5PM | North Platte, NE | Not specified | melonroasters.com/events  | Car, Truck & Motorcycle | Not specified | Not specified | BBQ Dinner, Cash Giveaways, Games, Raffles | View Event link on Melon Roasters.  |
| Calamus Cruisers Car Show | NE | Sept 20, 2025 | 9:00 AM - 4:00 PM | North 8th Ave - North Side of the Square, Burwell, NE | Calamus Cruisers | melonroasters.com/events  | Cars | Not specified | Not specified | Not specified | View Event link on Melon Roasters.  |
| Toppers Car Club Rod & Custom Show | ND | Feb 15-16, 2025 | Sat: 9AM-7PM; Sun: 9AM-5PM | Fargo Civic Center, 207 4th St N, Fargo, ND | Toppers Car Club | topperscarclub.com; Facebook: Toppers Car Club  | Customs, classics, hot rods | $12 adults, $5 children | $40 for display vehicles | Indoor show, 65+ years running | Not specified  |
| Cars in the Park - Fargo | ND | May 24, 2025 | 10:00 AM - 3:00 PM | Island Park, 302 7th St S, Fargo, ND | fargocarsandcoffee.com | fargocarsandcoffee.com  | Classic/custom cars (implied) | Free | $20 | Outdoor show, 19 years running | Not specified  |
| NDSRA Season Opener | ND | May 31, 2025 | 10:00 AM - 4:00 PM | Veteran's Memorial Park, West Fargo, ND | North Dakota Street Rod Association (NDSRA) | ndsra.com; Facebook: North Dakota Street Rod Association  | Street rods (implied) | Free | $20 | Outdoor show, first major NDSRA event | Not specified  |
| Devils Run - Devils Lake | ND | May 30 - June 1, 2025 | Sat: 9AM-5PM; Sun: 9AM-3PM | Roosevelt Park, Devils Lake, ND | devilsruncarshow.com | devilsruncarshow.com  | 1975 and older vehicles | $10 daily | $40 | Outdoor show, 29 years running | Not specified  |
| Badlands Classic Car Show | ND | June 28, 2025 | Show starts 10:00 AM MT (Check-in 8:30 AM MT) | Chimney Park (Pacific Ave), Medora, ND | Not specified (Contact for info) | bootsbarmedora.com/carshow; (701) 690-7364  | All Years, Makes & Models Welcome | Not specified | FREE TO ENTER | People's Choice, Best in Show Trophy, Top 5 jackets. First 25 reg. get FREE Gift Bag. Scenic Badlands backdrop. | Register at website or by phone.  |
| James Valley Street Machines Car Show | ND | June 28-29, 2025 | Sat: 10AM-5PM; Sun: 10AM-3PM | Jamestown Civic Center, 212 3rd Ave NE, Jamestown, ND | James Valley Street Machines | Facebook: James Valley Street Machines  | Not specified | $10 | $25 | Indoor/outdoor combination show, 28 years running | Not specified  |
| NDSRA Dakota Cruisers Car Show | ND | Aug 30, 2025 | 10:00 AM - 4:00 PM | North Dakota State Fairgrounds, Minot, ND | North Dakota Street Rod Association (NDSRA) | ndsra.com  | Street rods (implied) | $5 (children <12 free) | $25 | Outdoor show with swap meet, 27 years running | Not specified  |
| Rydell Car & Bike Show | ND | Sept 21, 2025 | 11:00 AM - 4:00 PM | Rydell Auto Center, 2700 S Washington St, Grand Forks, ND | Rydell Auto Center | rydellcarshow.com; Facebook: Rydellcars  | Cars and Bikes | Free | $40 (proceeds to charity) | Outdoor show, food vendors, live music, 18 years running | Not specified  |
| Red River Valley Car Show | ND | Sept 27-28, 2025 | Sat: 9AM-6PM; Sun: 9AM-3PM | Red River Valley Fairgrounds, West Fargo, ND | redrivervalleyfair.com | redrivervalleyfair.com  | Not specified | $12 adults, $5 children | $30 | Indoor/outdoor combination show, 48 years running | Not specified  |
| Antique Car Gathering | OH | May 10, 2025 | 10:00 AM - 5:00 PM (Parade 4PM) | Sauder Village, 22611 State Route 2, Archbold, OH 43502 | Sauder Village | saudervillage.org; Sarah Rupp 1-800-590-9755, sarah.rupp@saudervillage.org  | Manufactured prior to 1942 | General Sauder Village admission applies (Adults $28, Students $22, Seniors $26 approx. - check site) | Contact Sarah Rupp for participant info | Converse with owners, ride in antique car, parade, transportation-themed activities. Part of Transportation Week. | Contact Sarah Rupp to bring a car.  |
| Cruisin' Thru History Classic Car Show | OH | June 21, 2025 | Show: 10AM-3PM (Reg: 9AM-11AM; Awards: 2PM) | McKinley Presidential Library & Museum, 800 McKinley Monument Dr NW, Canton, OH 44708 | McKinley Presidential Library & Museum | mckinleymuseum.org; 330-455-7043  | Classic cars, Jeeps, motorcycles | Free for guests | $15 (cash only); includes 1 museum admission for owner | Trophies (decade bests, Best Jeep/Motorcycle, Host's Pick, C. Kenney Memorial). Dash plaques (1st 125). Food trucks. | Reg 9AM-11AM day of. Cash only.  |
| Goodguys 27th Summit Racing Nationals presented by PPG | OH | July 11-13, 2025 | Fri/Sat: 8AM-5PM; Sun: 8AM-3PM | Ohio Expo Center, 717 E 17th Ave., Columbus, OH 43211 | Goodguys Rod & Custom Association; Presented by PPG; Sponsored by Summit Racing | good-guys.com/ggn; (800) 777-1258; info@good-guys.com  | 1999 & older hot rods, customs, classics, muscle cars (Over 6,000 vehicles)  | Ticket info on Eventbrite via Goodguys website | Member/Non-Member registration options on website | AutoCross, Swap Meet, Indoor Car Show, Hall of Fame Road Tour, All American Sunday, Awards (Top 12, Builder's Choice, etc.), Vendor Midway.  | Register online via Goodguys website.  |
| Classic Car Show (Amish Door) | OH | Aug 9, 2025 | Show: 11AM-2PM (Reg: 10AM-11AM) | Amish Door Village, 1210 Winesburg St., Wilmot, OH 44689 | The Amish Door | amishdoor.com/eventcalendar/classic-car-show-aug-9-2025/; (330)359-5464; thevillage@amishdoor.com  | Classic, antique, vintage cars | Free | Free | Open to all | Register 10AM-11AM day of.  |
| Spring Fever Car Show 2025 | SD | May 31, 2025 | 5:00 PM - 8:00 PM (Awards 8:15PM; Show cars arrive 4PM; VIP 3PM) | Sanford Fieldhouse & Pentagon parking lot, 2215 W Pentagon Pl, Sioux Falls, SD | Spring fever car show/cruise; Presented by Excessive Autosports | Tickets via The Foat (link on AllEvents)  | Car show (types not specified) | FREE | Advance (Foat): $20; Gate (Cash): $25 | Free inflatables, Food trucks, Powerhouse Mobile Dyno ($100/2 pulls). Awards: Best of Show, Top 20, Judges Choice, Most/Lowest HP. | VIP cut-off May 23. Advance reg on The Foat from Apr 18.  |
| Dow Rummel Car Show | SD | June 5, 2025 | 5:30 PM - 7:00 PM | Dow Rummel main parking lot, 1321 W Dow Rummel St, Sioux Falls, SD | Dow Rummel Village | AllEvents: allevents.in/sioux-falls/dow-rummel-car-show/200028205175409  | "Cool cars" | Notify Me for ticket info | Notify Me for ticket info | Music, refreshments for purchase | Check AllEvents page for updates.  |
| Nyberg's ACE 8th Annual HOT CLASSICS NIGHT | SD | July 26, 2025 | 4:00 PM - 10:00 PM (Show car parking from 2PM) | Nyberg's ACE - Downtown, 330 S 1st Ave, Sioux Falls, SD | Nyberg's Ace; Proceeds to El Riad Shrine Classie Autos | AllEvents: allevents.in/sioux-falls/nybergs-ace-8th-annual-hot-classics-night/200027830617341  | Classic Cars | Free | Free (No registration needed) | Live music (The Last Call, Surfin' Safari), Food trucks. Over 10,000 attendees expected. | Show car parking from 2PM.  |
| Chasers 15th Annual Car Show! | SD | Aug 16, 2025 | 4:00 PM - 7:00 PM (Sign-up 3PM) | 8405 W 12th Street, Sioux Falls, SD | Chasers Food and Spirits | AllEvents: allevents.in/sioux-falls/chasers-15th-annual-car-show/200027830616737  | Classic cars (Show and shine) | TBD (implies open to public) | Free for vehicles | Outdoor beer tent, Chislic basket special, Sloppy joes, Coffee shop. Chasers Car Show shirts for entrants (while supplies last). | Sign-up 3PM day of.  |
| Kool Deadwood Nites | SD | Aug 19-24, 2025 | Various times daily  | Various locations in Deadwood, SD (Main St, Welcome Center, Outlaw Square, Deadwood Mtn Grand, etc.) | Historic Deadwood, SD | deadwood.com/event/kool-deadwood-nites/; 605-578-1876; McPherson Auction: 605-484-1781  | '73 or older vehicles | FREE for Main St concerts/events. Tower of Power concert may be ticketed. | Early Bird (by Aug 1): $90; After Aug 1: $120 | 31st Anniv. Car Auction, Rod Run, Poker Runs, Parades, Show & Shines, Judging, Live Music (The Drifters, The Long Run, Lovin' Spoonful, Revisiting Creedence, Tower of Power, etc.) | Pre-reg forms mailed May 2025; Walk-up reg available. Register online via link on Deadwood.com.  |
| Willy’s Hobby Shop 2nd Annual Car Show! | SD | Sept 13, 2025 | 12:00 PM - 3:00 PM | 4620 N. Cliff Ave., Sioux Falls, SD | Willy’s Hobby Shop | AllEvents: allevents.in/sioux-falls/willys-hobby-shop-2nd-annual-car-show/200027981449631  | All classes (flyer has details, not provided in snippet) | Notify Me for ticket info | No entry fee | Food (Creekside Meats, Mr. Churro). Over 130 vehicles last year. | No entry fee.  |
| Cool City Classic Car Show & Cruise | WI | June 27-28, 2025 | Fri: Cruise line-up 4PM, departs 6PM; Food/Bev 4-9PM. Sat: Reg 7:30-10AM; Show 10AM-4PM; Awards 2PM. | Fri: UW-Green Bay, Manitowoc Campus (line-up); Downtown Two Rivers (cruise). Sat: Downtown Two Rivers (Central Park West). Show entrance: Adams & 18th St. | Explore Two Rivers Wisconsin (promoter) | exploretworivers.com; More info: tworiversmainstreet.com/.../cool-city-classic-car-cruise-and-show/; Facebook: @coolcityclassiccarshow  | Classic cars | Not specified (implies free for public) | Cruise hangtags $5; Show reg $10/entry | 25th annual. Fri: Cruise, live music, food trucks. Sat: Car show, pancake breakfast (Senior Center), trophy presentation. | Show reg 7:30-10AM Sat. No pre-entry for show.  |
| Northern Roundup Vintage Weekend Car Show | WI | June 26-28, 2025 | All day/weekend | MC Festival Grounds, N5890 Cty Rd H, Gleason, WI 54435 | Chad Walker | gothi99@gmail.com; 715-302-8222; northernroundup.com  | Pre-1975 cars & motorcycles; Pre-1979 Trucks. Hotrods. | Not specified for day spectators | Weekend pass $35. Camping: Non-electric $50, Electric $100 (pass not incl.). | Vintage camping, music, minibike races, flame throwers, 1950's pinup contest, vendors, car cruise. Personal port-a-potty rental. | Gate prices for weekend pass. Campsite booking via contact.  |
| Classic Car & Truck Show at Taste of Portage | WI | Aug 23, 2025 | Event: 10AM-3PM; Reg starts 8AM; Judging 11AM; Awards 2:30PM | Cook Street, downtown Portage, WI (Enter Adams & Cook St) | Benefits Portage Archery Club; Portage Area Chamber of Commerce related | Portage Chamber: 608-742-6242 / 800-474-2525; chamber.portagewi.com  | Classic Car & Truck | Not specified (part of Taste of Portage festival) | $10 entry fee | Cash Prizes, Top 10 Awards (participant judging), Dash plaques (first 75 entries). Part of Taste of Portage. | Reg starts 8AM day of.  |
Section III: Navigating the Show Scene – Tips from an Insider
The allure of a classic car show extends beyond the gleaming chrome and rumbling engines. These events are vibrant social gatherings, historical showcases, and often, a feast for all senses. Whether attending as an admirer or proudly displaying a cherished vehicle, a little preparation can significantly enhance the experience.
A. For the Spectator: Making the Most of Your Day
Attending a classic car show can be a delightful experience, offering a journey through automotive history and a chance to connect with passionate owners. To maximize enjoyment, consider the following:
 * Planning Your Visit: Before heading out, it is always wise to check the event's official website or social media for any last-minute updates regarding schedules, parking availability, or potential weather-related changes. Larger events often provide maps and lists of vendors or special exhibits.
 * What to Bring: Comfort is key. Expect to do a fair amount of walking, so comfortable shoes are a must. Sunscreen, a hat, and sunglasses are advisable for outdoor events, along with a refillable water bottle to stay hydrated. A camera is essential for capturing the stunning vehicles, and a small tote bag can be handy for any programs, flyers, or small memorabilia purchased.
